lex	word	POS	род	падеж	число	вид	переходность	время	наклонение	лицо	форма прилагательных	залог	степень сравнения
повреждать	повредило	V	сред		ед	сов		прош	изъяв				
он	ему	SPRO	муж	дат	ед					3-л			
во	во	PR											
мнение	мнении	S	сред	пр	ед								
молодежь	молодежи	S	жен	пр	ед								
недостаток	недостаток	S	муж	вин	ед								
смелость	смелости	S	жен	пр	ед								
менее	менее	ADV											
все	всего	SPRO	сред	род	ед								
извиняться	извиняется	V			ед	несов	нп	непрош	изъяв	3-л			
молодой	молодыми	A		твор	мн						полн		
человек	людьми	S	муж	твор	мн								
который	которые	APRO		им	мн								
в	в	PR											
храбрость	храбрости	S	жен	пр	ед								
обыкновенно	обыкновенно	ADV											
видеть	видят	V			мн	несов	пе	непрош	изъяв	3-л			
верх	верх	S	муж	вин	ед								
человеческий	человеческих	A		пр	мн						полн		
достоинство	достоинств	S	сред	род	мн								
и	и	CONJ											
извинение	извинение	S	сред	вин	ед								
всевозможный	всевозможных	A		пр	мн						полн		
порок	пороков	S	муж	род	мн								
однако	однако	CONJ											
ж	ж	PART											
мало-помалу	мало-помалу	ADV											
все	все	SPRO		вин	мн								
быть	было	V	сред		ед	несов	нп	прош	изъяв				
забывать	забыто	V	сред		ед	сов		прош	прич		кр	страд	
и	и	CONJ											
сильвио	сильвио	S	муж	пр	мн								
снова	снова	ADV											
приобретать	приобрел	V	муж		ед	сов		прош	изъяв				
прежний	прежнее	A	сред	вин	ед						полн		
свой	свое	APRO	сред	вин	ед								
влияние	влияние	S	сред	вин	ед								
один	один	APRO	муж	вин	ед								
я	я	SPRO		им	ед					1-л			
уже	уже	ADV											
не	не	PART											
мочь	мог	V	муж		ед	несов	нп	прош	изъяв				
к	к	PR											
он	нему	SPRO	муж	дат	ед					3-л			
приближаться	приблизиться	V				сов	нп		инф				
иметь	имея	V				несов	пе	непрош	деепр				
от	от	PR											
природа	природы	S	жен	вин	мн								
романтический	романтическое	A	сред	вин	ед						полн		
воображение	воображение	S	сред	вин	ед								
я	я	SPRO		им	ед					1-л			
все	всех	SPRO		пр	мн								
сильно	сильнее	ADV											срав
прежде	прежде	PR											
сие	сего	SPRO	сред	род	ед								
быть	был	V	муж		ед	несов	нп	прош	изъяв				
привязывать	привязан	V	муж		ед	сов		прош	прич		кр	страд	
к	к	PR											
человек	человеку	S	муж	дат	ед								
кой	коего	APRO	муж	вин	ед								
жизнь	жизнь	S	жен	вин	ед								
быть	была	V	жен		ед	несов	нп	прош	изъяв				
загадка	загадкою	S	жен	твор	ед								
и	и	CONJ											
который	который	APRO	муж	вин	ед								
казаться	казался	V	муж		ед	несов	нп	прош	изъяв				
я	мне	SPRO		пр	ед					1-л			
герой	героем	S	муж	твор	ед								
таинственный	таинственной	A	жен	пр	ед						полн		
какой-то	какой-то	APRO	муж	вин	ед								
повесть	повести	S	жен	пр	ед								
он	он	SPRO	муж	им	ед					3-л			
любить	любил	V	муж		ед	несов	пе	прош	изъяв				
я	меня	SPRO		вин	ед					1-л			
по	по	PR											
крайний	крайней	A	жен	пр	ед						полн		
мера	мере	S	жен	пр	ед								
со	со	PR											
я	мной	SPRO		твор	ед					1-л			
один	одним	APRO	муж	дат	мн								
оставлять	оставлял	V	муж		ед	несов	пе	прош	изъяв				
обыкновенный	обыкновенное	A	сред	вин	ед						полн		
свой	свое	APRO	сред	вин	ед								
резкий	резкое	A	сред	вин	ед						полн		
злоречие	злоречие	S	сред	вин	ед								
и	и	CONJ											
говорить	говорил	V	муж		ед	несов	пе	прош	изъяв				
о	о	PR											
разный	разных	A		пр	мн						полн		
предмет	предметах	S	муж	пр	мн								
с	с	PR											
простодушие	простодушием	S	сред	твор	ед								
и	и	CONJ											
необыкновенный	необыкновенною	A	жен	твор	ед						полн		
приятность	приятностью	S	жен	твор	ед								
но	но	CONJ											
после	после	PR											
несчастный	несчастного	A	муж	вин	ед						полн		
вечер	вечера	S	муж	вин	мн								
мысль	мысль	S	жен	вин	ед								
что	что	CONJ											
честь	честь	S	жен	вин	ед								
его	его	APRO	жен	пр	мн								
быть	была	V	жен		ед	несов	нп	прош	изъяв				
замарывать	замарана	V	жен		ед	сов	пе	прош	прич		кр	страд	
и	и	CONJ											
не	не	PART											
омывать	омыта	V	жен		ед	сов		прош	прич		кр	страд	
по	по	PR											
его	его	APRO	жен	пр	мн								
собственный	собственной	A	жен	пр	ед						полн		
вина	вине	S	жен	пр	ед								
этот	эта	APRO	жен	им	ед								
мысль	мысль	S	жен	вин	ед								
я	меня	SPRO		вин	ед					1-л			
не	не	PART											
покидать	покидала	V	жен		ед	несов	пе	прош	изъяв				
и	и	CONJ											
мешать	мешала	V	жен		ед	несов	нп	прош	изъяв				
я	мне	SPRO		пр	ед					1-л			
обходиться	обходиться	V				несов	нп		инф				
